id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
883,Eric,Piatkowski,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
884,Lamond,Murray,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
885,Matt,Fish,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
886,Aaron,McKie,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
887,Eric,Montross,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
888,Fred,Vinson,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
889,Tom,Hovasse,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
890,Jamie,Watson,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
891,Khalid,Reeves,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
892,Brian,Grant,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
893,Henry,Turner,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
894,Michael,Smith,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
895,Antonio,Lang,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
896,Wesley,Person,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
897,B.J.,Tyler,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
898,Derrick,Alston,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
899,Sharone,Wright,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
900,Eric,Mobley,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
901,Darrin,Hancock,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
902,Bill,Curley,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
903,Anthony,Tucker,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
904,Tim,Breaux,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
905,Zan,Tabak,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
906,Brooks,Thompson,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
907,Glenn,Robinson,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
908,Jason,Kidd,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
909,Tony,Dumas,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
910,Monty,Williams,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
911,Carlos,Rogers,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
